"Name","Link"
"Recent deaths","https://en.wikipedia.org/wiki/Deaths_in_2021"
"Mulyadi Tamsir","https://en.wikipedia.org/wiki/Mulyadi_Tamsir"
"Sammy Nestico","https://en.wikipedia.org/wiki/Sammy_Nestico"
"Jubril Martins-Kuye","https://en.wikipedia.org/wiki/Jubril_Martins-Kuye"
"Juan Carlos Copes","https://en.wikipedia.org/wiki/Juan_Carlos_Copes"
"James Cross","https://en.wikipedia.org/wiki/James_Cross"
"Sibusiso Moyo","https://en.wikipedia.org/wiki/Sibusiso_Moyo"
"Nominate an article","https://en.wikipedia.org/wiki/Wikipedia:In_the_news/Candidates"
"January 22","https://en.wikipedia.org/wiki/January_22"
"Day of Unity of Ukraine","https://en.wikipedia.org/wiki/Act_Zluky"
"1919","https://en.wikipedia.org/wiki/1919"
"","https://en.wikipedia.org/wiki/File:Macintosh_128k_transparency.png"
"565","https://en.wikipedia.org/wiki/565"
"Eutychius","https://en.wikipedia.org/wiki/Eutychius_of_Constantinople"
"Ecumenical Patriarch of Constantinople","https://en.wikipedia.org/wiki/Ecumenical_Patriarch_of_Constantinople"
"Byzantine","https://en.wikipedia.org/wiki/Byzantine_Empire"
"Justinian I","https://en.wikipedia.org/wiki/Justinian_I"
"Aphthartodocetae","https://en.wikipedia.org/wiki/Aphthartodocetae"
"non-Chalcedonian Christians","https://en.wikipedia.org/wiki/Non-Chalcedonian_Christianity"
"1273","https://en.wikipedia.org/wiki/1273"
"Muhammad II","https://en.wikipedia.org/wiki/Muhammad_II_of_Granada"
"Sultan of Granada","https://en.wikipedia.org/wiki/Emirate_of_Granada"
"his father","https://en.wikipedia.org/wiki/Muhammad_I_of_Granada"
"1924","https://en.wikipedia.org/wiki/1924"
"Ramsay MacDonald","https://en.wikipedia.org/wiki/Ramsay_MacDonald"
"prime minister of the United Kingdom","https://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom"
"Labour Party","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
"1963","https://en.wikipedia.org/wiki/1963"
"Élysée Treaty","https://en.wikipedia.org/wiki/%C3%89lys%C3%A9e_Treaty"
"for relations","https://en.wikipedia.org/wiki/France%E2%80%93Germany_relations"
"centuries of rivalry","https://en.wikipedia.org/wiki/French%E2%80%93German_enmity"
"1984","https://en.wikipedia.org/wiki/1984"
"Super Bowl XVIII","https://en.wikipedia.org/wiki/Super_Bowl_XVIII"
"Apple Computer","https://en.wikipedia.org/wiki/Apple_Inc."
"Macintosh","https://en.wikipedia.org/wiki/Macintosh"
"personal computer","https://en.wikipedia.org/wiki/Personal_computer"
"graphical user interface","https://en.wikipedia.org/wiki/Graphical_user_interface"
"1984","https://en.wikipedia.org/wiki/1984_(advertisement)"
"Wang Zhi","https://en.wikipedia.org/wiki/Wang_Zhi_(pirate)"
"Karl Ernst Claus","https://en.wikipedia.org/wiki/Karl_Ernst_Claus"
"S. Vithiananthan","https://en.wikipedia.org/wiki/S._Vithiananthan"
"January 21","https://en.wikipedia.org/wiki/January_21"
"January 22","https://en.wikipedia.org/wiki/January_22"
"January 23","https://en.wikipedia.org/wiki/January_23"
"Archive","https://en.wikipedia.org/wiki/Wikipedia:Selected_anniversaries/January"
"By email","https://lists.wikimedia.org/mailman/listinfo/daily-article-l"
"List of days of the year","https://en.wikipedia.org/wiki/List_of_days_of_the_year"
"Danish football champions","https://en.wikipedia.org/wiki/List_of_Danish_football_champions"
"football in Denmark","https://en.wikipedia.org/wiki/Football_in_Denmark"
"Danish Superliga","https://en.wikipedia.org/wiki/Danish_Superliga"
"Danish Football Association","https://en.wikipedia.org/wiki/Danish_Football_Association"
"Copenhagen","https://en.wikipedia.org/wiki/Copenhagen"
